Good,Physiological,Safety,Belonging,Esteem,SelfActualisation,Gold
Ambrosia,3,1,1,1,0,2
AmphibiousLandingCraft,0,1,0,0,0,1
Antibiotic,2,2,0,1,0,2
AquaRegia,0,1,0,2,0,1
Armour,0,2,0,0,0,0
Asbestos,-2,-1,0,0,0,2
AwfulTrend,0,0,1,1,0,2
Axe,0,1,0,0,0,0
BadIdea,-3,0,0,-2,0,0
Battery,0,1,0,0,0,2
BeachResort,0,0,0,2,0,2
Beer,1,0,2,0,0,1
Blight,-3,0,0,-2,0,-1
BoardWithNail,0,0,0,0,0,0
Boat,1,1,0,0,0,1
Boondoggle,0,2,-1,0,-1,3
CannedFood,2,1,0,0,0,0
CarnivorousPlant,1,0,0,1,0,0
ChemistrySet,0,0,0,2,0,0
CitrusHybrid,2,0,0,0,0,1
ClearCut,1,2,-2,0,-1,2
Coal,0,0,0,0,0,1
CommunalFeast,2,1,2,0,0,0
Cornucopia,4,0,0,2,0,2
CrownJewel,0,0,0,2,0,3
DangerousSheetOfMetal,-1,-1,0,0,0,0
DeadPlant,1,0,0,0,0,0
Depression,-1,0,0,0,0,0
Diamond,0,0,0,0,0,0
DiamondCartel,0,0,0,-1,0,5
DuctTape,1,1,1,1,0,1
DustyGrain,0,0,0,0,0,0
Electrofishing,1,-1,0,0,0,2
Explosives,0,0,0,0,0,1
FakeAntiques,0,0,0,0,0,0
FastFashion,1,0,0,-1,0,2
Fireworks,0,0,1,0,0,0
Flint,1,1,1,0,0,1
Flour,2,0,0,0,0,0
Flowers,0,0,1,0,0,0
Fossils,0,0,2,1,0,0
FragrantStone,0,0,0,1,0,0
Furniture,1,0,1,0,0,1
FurniturePolish,0,0,0,1,0,0
FyreFestival,0,0,-1,0,0,1
GaudyTrinket,0,-1,-1,1,-1,1
GoldenRice,3,0,0,0,0,-1
Golem,0,2,2,1,0,1
GourmetDish,1,0,0,2,0,0
GreekFire,0,4,0,2,0,0
Gunpowder,0,1,0,0,0,1
HighFructoseCornSyrup,0,0,0,0,0,3
HighYieldCrop,3,0,0,0,0,2
HomeCookedMeal,2,0,2,0,0,0
HydroElectricDam,0,2,0,0,0,2
Infantry,0,2,2,2,0,0
Inspiration,0,1,0,0,2,0
InternetTroll,0,0,-1,0,0,3
InterpretiveDance,0,0,1,1,0,0
InvasiveSpecies,0,0,0,0,0,0
JunkFood,1,0,1,0,0,2
Kanemochi,2,0,2,0,0,1
Lemonade,2,0,1,0,0,1
Literature,0,0,1,1,1,0
LiquidMetal,0,2,0,1,0,3
LooseFirearm,0,-1,-1,1,0,1
Lumber,1,2,0,0,0,0
MalevolentGenie,0,0,0,0,-1,0
Masterpiece,0,0,0,2,0,1
Mercenaries,0,-1,0,-1,0,2
Miasma,0,-2,-1,0,0,1
Monoculture,2,0,-1,0,-1,3
MoralMajority,0,1,-2,-1,0,0
MRE,1,1,1,0,0,1
MrRogersNeighbourhood,0,1,3,2,0,0
Mush,1,0,0,0,0,0
Nothing,0,0,0,0,0,0
OilyStick,0,0,0,0,0,0
Omelas,2,2,1,-2,-2,1
Orchid,0,0,2,2,0,2
OshunsBlessing,2,1,1,1,0,0
Paper,0,0,2,1,0,2
PapercutElemental,-2,-1,0,0,0,0
PeacekeepingForces,0,2,0,1,0,-1
Pizazz,1,0,0,1,0,1
Pollutant,0,-1,0,0,0,1
PopArt,0,0,2,2,0,1
Preservative,1,1,0,0,0,1
PretentiousArt,0,0,0,-1,0,0
PretentiousDish,1,0,0,-1,0,0
PrimitiveHousing,0,1,0,0,0,0
RareEarthMetal,-1,-1,-1,0,0,3
Rubble,0,0,0,0,0,-1
Rust,0,-1,0,0,0,-1
Salad,2,0,0,0,0,0
SaltyWater,-1,0,0,0,0,0
SecretIngredient,3,0,2,0,0,1
Semiconductor,0,0,0,0,0,3
ShangDu,0,1,2,2,0,1
Silo,2,1,0,0,0,1
Slag,0,0,0,0,0,0
Sludge,0,0,0,0,0,0
Smoke,-1,-1,0,0,0,0
SoggyWood,0,0,0,0,0,0
SourDrink,1,0,0,0,0,0
StatusSymbol,0,0,1,2,0,2
Steam,1,1,0,0,0,2
StickOnFire,0,0,0,0,0,0
Stone,0,0,0,0,0,0
StreetFair,0,0,1,0,0,0
SturdyBuildingMaterial,0,2,0,0,0,1
SweetGreens,1,0,0,0,0,1
Tavern,2,0,1,0,0,0
Terraformer,3,2,1,0,0,1
TouristTrap,0,-1,-1,-1,0,0
TreeHouse,1,2,0,0,0,0
TrendySnack,1,0,1,0,0,0
Tulip,0,0,0,2,0,3
UnstableGunpowder,0,-1,0,0,0,1
UsefulWebsite,0,0,2,0,0,2
Utopia,3,2,2,0,1,1
VolatileMixture,0,-1,0,0,0,1
WaffleHouse,1,-1,0,-1,0,1
WetDiamond,0,0,0,0,0,0
WetGrain,1,-1,0,0,0,-1
WetStone,0,0,0,1,0,0
Whetstone,0,1,0,1,0,1
