Ingredient1,Ingredient2,Product,JunkVersion,JunkChance,RecipeDiscoveryChance,Ingredient1Needed,Ingredient2Needed,ProducesQty,ProducesQtyJunk,MaxQtyWithoutRecipe,NOTE
Water,Sulfur,AmphibiousLandingCraft,Mercenaries,50,10,3,1,2,2,1,
Plant,Sulfur,Antibiotic,DeadPlant,80,5,3,2,2,3,1,
Water,Diamond,AquaRegia,WetDiamond,90,5,5,1,2,1,1,
Metal,Fire,Armour,Slag,50,5,2,2,3,3,1,
Metal,Wood,Axe,BoardWithNail,50,25,1,1,3,3,2,
Metal,Lightning,Battery,DangerousSheetOfMetal,50,5,3,3,3,4,1,
Water,Salt,BeachResort,SaltyWater,70,15,5,2,4,5,2,
Water,Grain,Beer,WetGrain,60,25,2,2,2,2,1,
Water,Wood,Boat,SoggyWood,50,15,3,2,2,3,1,
Metal,Grain,CannedFood,MRE,50,5,1,3,3,3,1,Preppers?
Plant,Salt,CarnivorousPlant,DeadPlant,50,5,3,2,2,3,1,
Water,Oil,ChemistrySet,Pollutant,90,15,2,2,2,2,1,
Lemon,Plant,CitrusHybrid,Nothing,50,5,2,2,1,0,1,
Fire,Wood,Coal,StickOnFire,50,5,3,3,3,3,1,
Grain,Wood,CommunalFeast,DustyGrain,50,10,4,4,3,4,1,
Ether,Grain,Cornucopia,Blight,99,0,1,10,1,10,1,
Stone,Diamond,CrownJewel,DiamondCartel,80,5,4,4,2,2,1,
Plant,Lightning,DuctTape,Asbestos,70,5,3,1,3,3,1,
Fire,Sulfur,Explosives,VolatileMixture,80,5,3,1,2,2,1,
Stone,Sulfur,Fireworks,Stone,60,5,3,1,3,3,1,
Metal,Stone,Flint,RareEarthMetal,50,25,3,1,3,3,1,
Stone,Grain,Flour,Stone,40,10,3,3,3,3,1,
Water,Plant,Flowers,DeadPlant,40,35,3,3,3,3,2,
Stone,Ether,Fossils,FakeAntiques,99,0,10,1,1,10,1,
Oil,Wood,Furniture,OilyStick,70,5,2,2,2,2,1,
Lemon,Oil,FurniturePolish,Sludge,50,5,1,2,5,10,3,
Lightning,Grain,GoldenRice,HighFructoseCornSyrup,80,5,2,1,2,2,1,
Metal,Ether,Golem,Boondoggle,99,0,10,1,1,10,1,
Lemon,Diamond,GourmetDish,PretentiousDish,90,15,3,1,2,2,1,
Ether,Fire,GreekFire,BadIdea,99,0,1,10,1,10,1,
Sulfur,Salt,Gunpowder,UnstableGunpowder,70,5,3,3,2,3,1,
Plant,Grain,HighYieldCrop,Monoculture,50,5,2,2,2,2,1,
Fire,Grain,HomeCookedMeal,Nothing,70,10,3,2,3,0,3,
Water,Lightning,HydroElectricDam,Electrofishing,50,5,3,2,3,3,1,
Metal,Oil,Infantry,LooseFirearm,50,15,3,3,2,2,1,
Ether,Lightning,Inspiration,MalevolentGenie,99,0,1,10,1,10,1,
Plant,Fire,InterpretiveDance,DeadPlant,50,10,3,2,3,3,3,
Lemon,Grain,Kanemochi,TrendySnack,50,15,2,2,2,2,2,
Lemon,Water,Lemonade,SourDrink,20,25,1,1,5,5,2,
Water,Metal,LiquidMetal,Rust,90,5,5,3,3,5,2,
Plant,Ether,Literature,PapercutElemental,99,0,10,1,1,10,1,
Metal,Plant,Lumber,ClearCut,50,25,3,3,3,3,3,
Diamond,Ether,Masterpiece,PretentiousArt,99,0,10,1,1,10,1,
Lemon,Wood,MrRogersNeighbourhood,MoralMajority,70,10,4,4,4,4,2,
Ether,Wood,ShangDu,TouristTrap,99,0,1,10,1,10,1,
Plant,Diamond,Orchid,Tulip,50,5,3,1,2,2,1,-5  gold later
Plant,Stone,Paper,Mush,50,5,3,3,3,3,1,
Lemon,Sulfur,PeacekeepingForces,Mercenaries,60,5,3,3,3,3,1,
Lemon,Lightning,Pizazz,FastFashion,50,5,5,2,3,3,1,
Lemon,Ether,Terraformer,Miasma,99,0,10,1,1,10,1,
Lemon,Metal,PopArt,AwfulTrend,30,5,1,1,3,5,1,
Ether,Salt,Ambrosia,JunkFood,99,0,1,10,1,10,1,
Lemon,Salt,Preservative,Nothing,50,25,3,3,3,0,2,
Stone,Wood,PrimitiveHousing,Rubble,60,10,3,3,3,3,1,
Water,Ether,OshunsBlessing,Depression,99,0,10,1,1,10,1,
Oil,Plant,Salad,SweetGreens,50,25,2,2,2,2,1,Lawyers
Oil,Salt,SecretIngredient,JunkFood,60,5,3,3,3,3,2,
Diamond,Lightning,Semiconductor,Diamond,90,5,3,3,2,2,1,
Stone,Salt,Silo,Stone,60,5,3,3,1,3,1,
Metal,Diamond,StatusSymbol,GaudyTrinket,70,5,2,3,2,3,1,
Water,Fire,Steam,Smoke,50,25,2,2,2,2,2,
Lemon,Fire,StreetFair,FyreFestival,50,15,2,2,2,2,2,
Lemon,Stone,SturdyBuildingMaterial,FragrantStone,90,10,2,2,2,2,1,
Stone,Fire,SturdyBuildingMaterial,Stone,50,5,2,2,2,2,1,
Wood,Salt,Tavern,WaffleHouse,50,5,3,2,2,2,1,Lawyers
Plant,Wood,TreeHouse,InvasiveSpecies,50,10,3,3,3,3,3,
Lightning,Fire,UsefulWebsite,InternetTroll,50,5,3,3,3,3,3,
Water,Stone,Whetstone,WetStone,60,25,2,2,2,2,1,
Metal,Sulfur,,,,,,,,,,
Metal,Salt,,,,,,,,,,
Oil,Stone,,,,,,,,,,
Oil,Diamond,,,,,,,,,,
Oil,Ether,,,,,,,,,,
Oil,Lightning,,,,,,,,,,
Oil,Fire,,,,,,,,,,
Oil,Grain,,,,,,,,,,
Oil,Sulfur,,,,,,,,,,
Stone,Lightning,,,,,,,,,,
Diamond,Fire,,,,,,,,,,
Diamond,Grain,,,,,,,,,,
Diamond,Sulfur,,,,,,,,,,
Diamond,Wood,,,,,,,,,,
Diamond,Salt,,,,,,,,,,
Ether,Sulfur,Utopia,Omelas,99,0,1,10,1,10,1,Lawyers
Lightning,Sulfur,,,,,,,,,,
Lightning,Wood,,,,,,,,,,
Lightning,Salt,,,,,,,,,,
Fire,Salt,,,,,,,,,,
Grain,Sulfur,,,,,,,,,,
Grain,Salt,,,,,,,,,,
Sulfur,Wood,,,,,,,,,,
